id	world	walltex	floortex	skip	flip	condition	path	heuristic
4	tradeoff2	brickwall.png	na	1	0	optimal	p(2,0);p(1,0);p(0,0);p(0,1);	tradeoff
3	tradeoff2	brickwall.png	na	1	0	suboptimal	p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(8,0);p(9,0);p(10,0);p(11,0);p(10,0);p(9,0);p(8,0);p(7,0);p(6,0);p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);	tradeoff
6	tradeoff3	brickwall.png	na	1	0	optimal	p(8,0);p(9,0);p(10,0);p(9,0);p(8,0);p(7,0);p(6,0);p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,3);	tradeoff
5	tradeoff3	brickwall.png	na	1	0	suboptimal	p(8,0);p(7,0);p(6,0);p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,3);	tradeoff
8	tradeoff4	brickwall.png	na	1	0	suboptimal	p(2,0);p(1,0);p(0,0);p(0,1);	tradeoff
7	tradeoff4	brickwall.png	na	1	0	optimal	p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);	tradeoff
2	tradeoff1	brickwall.png	na	1	0	optimal	p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);	tradeoff
1	tradeoff1	brickwall.png	na	1	0	suboptimal	p(3,0);p(4,0);p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);	tradeoff
9	tradeoff5	brickwall.png	na	1	0	optimal	p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);	bigger
10	tradeoff5	brickwall.png	na	1	0	suboptimal	p(3,0);p(4,0);p(5,0);p(6,0);p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);	bigger
11	tradeoff6	brickwall.png	na	1	0	optimal	p(4,0);p(5,0);p(6,0);p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);	closer
12	tradeoff6	brickwall.png	na	1	0	suboptimal	p(4,0);p(3,0);p(2,0);p(1,0);p(0,1);p(0,2);	closer
13	tradeoff7	brickwall.png	na	1	0	optimal	p(7,0);p(6,0);p(5,0);	incomplete tradeoff,bigger
14	tradeoff7	brickwall.png	na	1	0	suboptimal	p(7,0);p(8,0);p(9,0);	incomplete tradeoff,bigger
15	bigsmall1	brickwall.png	na	1	0	suboptimal	p(4,0);p(3,0);p(2,0);	incomplete,bigger
16	bigsmall1	brickwall.png	na	1	0	optimal	p(4,0);p(5,0);p(6,0);	incomplete,bigger
17	farclose1	brickwall.png	na	1	0	optimal	p(6,0);p(7,0);p(8,0);	incomplete, closer
18	farclose1	brickwall.png	na	1	0	suboptimal	p(6,0);p(5,0);p(4,0);	incomplete, closer
19	tradeoff8	brickwall.png	na	0	0	suboptimal	p(3,0);p(4,0);p(5,0);	incomplete tradeoff,closer
20	tradeoff8	brickwall.png	na	0	0	optimal	p(3,0);p(2,0);p(1,0);	incomplete tradeoff,closer
