subject	maze	path	times
3207	easy/easy_rw_24.txt	p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);	5572;646;828;781;570;1532;533;906;674;686;942;1083;887;704;969;
3207	easy/easy_cost13.txt	p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);p(4,2);p(3,2);p(2,2);p(1,2);p(1,3);p(1,4);	3184;740;780;791;1797;725;597;887;1170;854;
3207	easy/easy_cost24.txt	p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(5,1);	2884;923;874;1011;1066;924;
3207	easy/easy_rw46.txt	p(3,1);p(3,2);p(4,2);p(5,2);p(4,2);p(3,2);p(2,2);p(1,2);p(0,2);p(1,2);p(1,3);	6183;779;770;2789;702;688;940;753;1284;753;
3207	medium/tworooms.txt	p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(6,4);p(7,4);p(7,3);p(7,2);p(7,1);p(7,2);p(7,3);p(7,4);p(6,4);p(5,4);p(5,3);p(5,2);p(4,2);p(3,2);p(2,2);p(1,2);p(1,1);	5824;809;4834;894;3692;724;3482;466;561;2246;667;932;2133;940;1190;666;714;1209;780;846;1600;
3207	medium/courtyard.txt	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(2,2);	8199;1055;1372;2911;1152;1732;
3207	medium/tradeoff1.txt	p(3,0);p(2,0);p(1,0);p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(8,0);p(8,1);p(8,2);	4096;654;754;2426;656;817;876;932;849;914;828;1237;597;
3207	medium/tradeoff2.txt	p(5,1);p(6,1);p(7,1);p(7,2);	4574;1666;1152;
3207	hard/tradeoff7.txt	p(3,0);p(4,0);p(5,0);p(5,1);p(5,2);p(5,3);p(6,3);	6663;2177;1971;943;1482;1618;
3207	hard/tradeoff3.txt	p(2,1);p(1,1);p(0,1);p(0,2);	5717;590;990;
3207	hard/tradeoff4.txt	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(2,2);p(1,2);p(0,2);p(0,3);	6382;1074;941;2361;724;1008;1513;1046;818;
3207	hard/tradeoff5.txt	p(5,0);p(4,0);p(3,0);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(7,1);p(7,2);p(7,3);p(6,3);p(5,3);	5736;749;952;1798;638;675;676;705;807;2353;828;2044;610;
525855	easy/easy_cost24.txt	p(0,0);p(0,1);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(5,1);	3916;733;1893;2322;675;495;723;553;1524;780;
525855	easy/easy_rw_24.txt	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);	6341;484;561;524;1522;
525855	easy/easy_cost13.txt	p(2,1);p(2,2);p(1,2);p(1,3);p(1,4);	2269;551;1208;389;
525855	easy/easy_rw46.txt	p(3,1);p(3,2);p(2,2);p(1,2);p(1,3);	2387;408;503;2399;
525855	medium/tradeoff1.txt	p(3,0);p(2,0);p(1,0);p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(8,0);p(8,1);p(8,2);	1950;572;476;1483;342;714;573;217;466;981;465;1027;564;
525855	medium/tworooms.txt	p(3,2);p(4,2);p(5,2);p(5,1);p(6,1);p(7,1);p(7,2);p(7,3);p(7,4);p(6,4);p(5,4);p(5,3);p(5,2);p(4,2);p(3,2);p(2,2);p(1,2);p(1,1);	8387;389;742;1324;780;705;351;780;541;459;1273;2219;693;542;553;458;1408;
525855	medium/courtyard.txt	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(2,2);	4670;677;846;2105;428;1543;
525855	medium/tradeoff2.txt	p(5,1);p(6,1);p(7,1);p(7,2);	3088;428;1208;
525855	hard/tradeoff4.txt	p(6,0);p(7,0);p(8,0);p(9,0);p(8,0);p(7,0);p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(2,2);p(1,2);p(1,3);p(0,3);	4841;543;477;1797;456;1514;912;439;563;2282;1598;1256;743;1513;905;
525855	hard/tradeoff7.txt	p(3,0);p(2,0);p(1,0);p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(5,1);p(5,2);p(5,3);p(6,3);	5937;494;534;1904;408;562;2940;570;2781;1893;2651;1449;
525855	hard/tradeoff3.txt	p(2,1);p(1,1);p(0,1);p(0,2);	2713;724;818;
525855	hard/tradeoff5.txt	p(5,0);p(4,0);p(3,0);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(7,1);p(7,2);p(7,3);p(6,3);p(5,3);	2089;390;703;1436;487;1360;429;429;1081;1296;390;1372;380;
525983	easy/easy_cost24.txt	p(0,0);p(0,1);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(5,1);	12521;1436;31623;722;1085;1036;1125;1188;1912;993;
525983	easy/easy_rw_24.txt	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);	25677;1105;810;1589;1314;
525983	easy/easy_rw46.txt	p(3,1);p(3,2);p(2,2);p(1,2);p(1,3);	7312;10611;1142;1558;
525983	easy/easy_cost13.txt	p(2,1);p(2,2);p(1,2);p(1,3);p(1,4);	8068;1020;1740;739;
525983	medium/tradeoff1.txt	p(3,0);p(2,0);p(1,0);p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(8,0);p(8,1);p(8,2);	8355;654;903;11343;839;865;1104;790;1085;1209;1018;2845;1189;
525983	medium/tworooms.txt	p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(6,4);p(7,4);p(7,3);p(7,2);p(7,1);p(6,1);p(5,1);p(5,2);p(4,2);p(3,2);p(2,2);p(1,2);p(1,1);	10813;922;2195;754;1846;599;4835;883;744;3311;1381;3795;924;1817;1143;1208;1827;
525983	medium/tradeoff2.txt	p(5,1);p(6,1);p(7,1);p(7,2);	11881;855;924;
525983	medium/courtyard.txt	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(2,2);	11320;1103;895;3389;1093;1092;
525983	hard/tradeoff4.txt	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(2,2);p(1,2);p(0,2);p(0,3);	16183;1464;818;4262;2714;2311;743;1837;1340;
525983	hard/tradeoff7.txt	p(3,0);p(4,0);p(5,0);p(5,1);p(5,2);p(5,3);p(5,4);p(6,4);p(6,3);	16412;826;1058;1523;1970;4537;697;1103;
525983	hard/tradeoff5.txt	p(5,0);p(6,0);p(7,0);p(7,1);p(7,0);p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(7,1);p(7,2);p(7,3);p(6,3);p(5,3);	28538;845;921;1714;808;1105;970;713;894;3664;667;648;714;779;1180;760;1846;2114;1090;
525983	hard/tradeoff3.txt	p(2,1);p(1,1);p(0,1);p(0,2);	11373;2112;1305;
6043	easy/easy_rw_24.txt	p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);	6871;826;799;752;652;2165;421;934;869;1169;534;878;1210;1007;791;
6043	easy/easy_cost13.txt	p(2,1);p(2,2);p(1,2);p(1,3);p(1,4);	8068;883;1449;913;
6043	easy/easy_rw46.txt	p(3,1);p(3,2);p(2,2);p(1,2);p(1,3);	9028;1007;835;1134;
